City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,College,US,56.8,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
4,Harper,LR,77.5,broken clouds,4.375,-7.7169,Screensaver
9,Vaini,TO,66.36,few clouds,-21.2,-175.2,Keleti Beach Resort
10,Grindavik,IS,55.35,light intensity drizzle,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
11,Caravelas,BR,77.49,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
12,Rikitea,PF,74.55,scattered clouds,-23.1203,-134.9692,People ThankYou
13,Khatanga,RU,52.68,overcast clouds,71.9667,102.5,"""Khatanga"""
16,Tuktoyaktuk,CA,51.8,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
18,Kodiak,US,51.31,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
21,Nchelenge,ZM,73.58,scattered clouds,-9.3451,28.734,KD Travellers Home
26,Guerrero Negro,MX,75.16,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
27,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
30,Busselton,AU,57.72,broken clouds,-33.65,115.3333,Observatory Guest House
34,Jumla,NP,64.58,overcast clouds,29.2747,82.1838,Royal Garden Hotel
37,Atuona,PF,77.16,few clouds,-9.8,-139.0333,Villa Enata
39,Katsuura,JP,77.9,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
42,Bintulu,MY,79.21,scattered clouds,3.1667,113.0333,900 Boutique INN
44,Castro,BR,72.68,clear sky,-24.7911,-50.0119,CHACARA BAILLY
46,Cape Town,ZA,58.26,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
47,Camacha,PT,69.22,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
49,Bengkulu,ID,75.63,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
50,Saint-Philippe,RE,66.22,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
51,Yellowknife,CA,63.12,few clouds,62.456,-114.3525,The Explorer Hotel
52,Buin,CL,69.42,clear sky,-33.7333,-70.75,Paihuen
53,Luanda,AO,68.97,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
55,Ginda,IN,65.77,overcast clouds,30.6945,78.4932,Sunil Bisht
56,Pouembout,NC,72.39,few clouds,-21.1333,164.9,Camping de Tipenga
59,Labuhan,ID,75.83,broken clouds,-6.8844,112.2051,DoubleFAG
60,Hilo,US,74.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
61,Biak,ID,75.34,scattered clouds,-0.9131,122.8766,Penginapan Kim
65,Huanuco,PE,76.89,few clouds,-9.9329,-76.2415,Hostal Miraflores
66,Bonthe,SL,77.72,light rain,7.5264,-12.505,Bonthe Holiday Village
