City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,College,US,64.8569,-147.8028,56.8,74,75,3.44,broken clouds
1,San Andres,CO,12.5847,-81.7006,86.02,74,40,12.66,scattered clouds
2,Iracoubo,GF,5.4802,-53.2011,82.85,72,39,8.57,scattered clouds
3,Mount Gambier,AU,-37.8333,140.7667,47.23,85,62,8.05,broken clouds
4,Harper,LR,4.375,-7.7169,77.5,66,66,8.68,broken clouds
5,Barrow,US,71.2906,-156.7887,42.82,81,0,23.02,clear sky
6,Bluff,NZ,-46.6,168.3333,39.79,82,97,9.24,overcast clouds
7,Iqaluit,CA,63.7506,-68.5145,40.73,100,100,5.75,mist
8,Puerto Narino,CO,-3.7703,-70.3831,83.66,70,66,3.31,light rain
9,Vaini,TO,-21.2,-175.2,66.36,100,20,4.61,few clouds
10,Grindavik,IS,63.8424,-22.4338,55.35,94,75,9.22,light intensity drizzle
11,Caravelas,BR,-17.7125,-39.2481,77.49,63,2,8.46,clear sky
12,Rikitea,PF,-23.1203,-134.9692,74.55,73,36,12.15,scattered clouds
13,Khatanga,RU,71.9667,102.5,52.68,64,100,7.54,overcast clouds
14,Chokurdakh,RU,70.6333,147.9167,37.53,55,94,7.54,overcast clouds
15,Caxias,PT,38.7031,-9.2767,87.24,53,20,18.41,few clouds
16,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,87,100,2.3,overcast clouds
17,Barreirinhas,BR,-2.7469,-42.8264,88.68,49,74,4.32,broken clouds
18,Kodiak,US,57.79,-152.4072,51.31,93,100,3.44,overcast clouds
19,Anlu,CN,31.1661,112.5831,82.31,84,99,9.24,overcast clouds
20,Airai,TL,-8.9266,125.4092,55.44,90,88,2.8,overcast clouds
21,Nchelenge,ZM,-9.3451,28.734,73.58,50,50,6.2,scattered clouds
22,Mataura,NZ,-46.1927,168.8643,39.47,96,100,1.59,overcast clouds
23,Tasiilaq,GL,65.6145,-37.6368,41.16,73,91,2.77,overcast clouds
24,Ushuaia,AR,-54.8,-68.3,31.62,93,75,24.16,snow
25,Hobart,AU,-42.8794,147.3294,39.27,92,0,1.99,clear sky
26,Guerrero Negro,MX,27.9769,-114.0611,75.16,62,61,14.72,broken clouds
27,Puerto Ayora,EC,-0.7393,-90.3518,75.16,88,82,7.0,broken clouds
28,Albany,US,42.6001,-73.9662,92.52,60,23,4.0,few clouds
29,Tuatapere,NZ,-46.1333,167.6833,43.38,89,97,2.71,overcast clouds
30,Busselton,AU,-33.65,115.3333,57.72,77,68,12.41,broken clouds
31,Upernavik,GL,72.7868,-56.1549,47.25,84,100,6.46,light rain
32,Fasa,IR,28.9383,53.6482,94.24,20,40,6.91,scattered clouds
33,Lorengau,PG,-2.0226,147.2712,80.28,78,98,4.99,overcast clouds
34,Jumla,NP,29.2747,82.1838,64.58,93,99,1.43,overcast clouds
35,Butaritari,KI,3.0707,172.7902,80.01,76,69,3.67,broken clouds
36,Srednekolymsk,RU,67.45,153.6833,41.63,53,16,5.5,few clouds
37,Atuona,PF,-9.8,-139.0333,77.16,76,12,15.84,few clouds
38,Sokoto,NG,13.0609,5.239,87.06,48,72,6.91,broken clouds
39,Katsuura,JP,35.1333,140.3,77.9,93,100,12.44,overcast clouds
40,Santa Cruz De Tenerife,ES,28.4682,-16.2546,87.58,69,20,13.8,few clouds
41,Bethel,US,41.3712,-73.414,93.15,67,40,6.91,scattered clouds
